B6_25_01215	B6_25_01216	B6_25_01217	B6_26_01218	B6_26_01219	B6_26_01220	B6_42_01884	B6_42_01885	B6_42_01886	NOD_JAG012_01224	NOD_JAG012_01225	NOD_JAG012_01226	NOD_JAG018_01896	NOD_JAG018_01897	NOD_JAG018_01898	NOD_JAG020_01899	NOD_JAG020_01900	NOD_JAG020_01901	PWD_AC398_01887	PWD_AC398_01888	PWD_AC398_01889	PWD_AC401_01890	PWD_AC401_01891	PWD_AC401_01892	PWD_AC403_01893	PWD_AC403_01894	PWD_AC403_01895
ENSMUSG00000000126	28.2516723858791	23.5689868166838	24.3480637935069	18.5659631207803	35.3697118024053	19.9516982149397	15.5901057283499	28.6464774266973	24.467517493477	1.57866777590159	1.12954596736478	1.76229141028527	0.79227878465518	0.462380697637448	0.661776515213118	0.573715383727319	0.799997593410168	0.641771754319389	1.05741267091062	1.11945823743339	0.687951294233025	1.4514795466718	1.08999303067801	1.45339110939975	1.42406442082581	1.2180235870915	1.09891251827248
ENSMUSG00000000134	774.76321691869	678.339610859776	696.7517492286	360.476307064175	431.661793340061	317.661705731673	442.494987617464	494.368935259439	427.003354802531	101.955442318746	106.752787697897	111.187494817845	135.203047803896	136.428318936721	111.793070098607	221.916461918359	135.864459890186	165.126951105086	81.4803808532182	132.459225633623	117.21576611041	87.2576624202085	75.6632389359185	111.456064373827	169.291647886679	102.825370857722	92.0202317838309
ENSMUSG00000000142	441.41579114147	402.137976555077	517.531446583273	215.834727198853	220.751442160697	166.277252965845	734.029659614251	784.919461664016	514.579728956346	9.13595995069045	7.24861597915202	11.6269701226034	14.2675002728248	19.3107686150984	15.3060250545537	23.2358588142326	15.5349266220509	15.8730117979108	5.02981604699902	7.49467874508351	7.60635349196122	7.6768647042692	3.41425954470025	4.17808945107841	9.21853507859568	5.36815408947863	4.46803307327036
ENSMUSG00000000157	1406.07728248182	1589.04453374809	1243.63976711725	907.972564074658	1753.19342314985	1175.03701765574	1013.38543411878	1471.86064033521	1644.32211270646	60.7969674163298	42.2211060587775	58.6295300154931	55.678376276217	89.2384591243589	56.897185846876	86.2001941775761	53.0309571318419	55.0624516761635	42.1826783652346	42.9951837325902	45.1601562897174	52.1097817483852	23.8350531149905	34.4448095566098	31.6370192925676	42.6659033733283	38.8620148316345
ENSMUSG00000000168	43.524749262075	75.4075864296753	40.6429859020127	33.6889210658983	37.6342122105121	18.3701395209636	36.4507455234194	36.5425096224205	37.6465734066937	5.02364930416924	3.65888813136275	4.61593149386405	1.94155606330871	2.80528499285148	3.15408845464157	3.44784876815449	2.06734328340697	2.21257766443125	2.11430609992613	2.72416984609806	2.80155279210252	2.62518459633998	1.6923409817867	3.79505433809616	2.74713921774236	2.50363184932401	2.95708753685038
ENSMUSG00000000171	47.9694658925828	49.00303637465	40.6783938085336	34.4954100826397	38.7910727975737	21.1596418568154	15.5938051294843	19.2857911332636	15.1246274200283	0	0.248928956745397	0	0.345134840931128	0.335217098819187	0.47382004737296	0.940649532050443	0	0.203097926569786	0.109150659501358	0.257834478829441	0.302858327851672	0	0	0.103199032027748	0.078840188805803	0.0976864012442534	0
ENSMUSG00000000182	26.1044283710853	19.3623461903925	36.1501580782849	5.39855238361476	7.53831777769322	5.01040195497559	6.46925433531669	6.7030052171135	4.57832586200951	1.49697643412353	2.4814619037222	1.983112121063	0.557810067513534	0.716023973506614	1.4670676750106	2.17573939917972	0.741233954874001	1.3126357783368	1.81040640053472	1.70084275932902	2.25586098977062	2.25148808396923	1.13935878920186	1.5897927681091	2.71607225677595	2.45835358346009	2.13746428979439
ENSMUSG00000000184	25.1569954670212	33.9755763529975	29.5016113550354	20.4220509140268	25.3771196075765	15.3476359704246	17.9973017274626	29.2149523926963	24.8903913419651	1.7831258336596	1.60265454202205	1.75818920340586	2.63063373293956	2.26655370015085	2.11246093775654	4.39320176958294	3.7001914576185	1.94535083148797	2.07962050015491	2.0546202545944	1.72296531796289	2.0618626528743	0.889368241540061	1.3999959590117	2.19568805925912	1.55954131833789	1.04635146225659
ENSMUSG00000000194	160.258444680732	228.496303502213	183.089343644564	197.862727021549	148.432599620208	116.384505973707	148.755868702133	143.838133929815	152.16503465942	30.8775029873199	25.6101266311044	31.1430060964072	15.3320620336234	14.6211342550048	13.9098525762719	22.6915656007873	17.0634591526768	14.5329246047843	20.6425104214243	20.5802940127197	18.2961945227456	24.4111870335023	12.4206364652303	21.3878045094342	21.1205969844322	29.5498652006618	23.4629369919029
ENSMUSG00000000197	190.155245768379	171.21526584572	195.803567116542	128.775214331394	144.739889558352	102.592108528302	118.322187253127	112.616300315462	139.337469318748	0.339116644851301	0.307126122829411	0.338902807806173	0.446768492495522	0.36766172401532	0.46762485328987	0.866109181797637	0.3972360196697	0.652757564776176	0.793729883550343	0.713788239969706	1.01021317147447	0.787788590331473	0.653782686909465	0.747029521726605	0.875458156112146	0.536711647309102	0.405246973993859
